PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.0,2.0645250878521744e-276,1.8571723033794899e-180,3.3386356770722585e-145
0.002002002002002002,3.7761046694815226e-28,6.200785468088232e-25,4.088300167402686e-21
0.004004004004004004,1.6828909324346696e-18,5.173899723497691e-18,1.7257884010258131e-15
0.006006006006006006,7.44739484221575e-14,1.600477506829913e-14,1.2319962485107391e-12
0.008008008008008008,5.2903121426733603e-11,2.701933982918771e-12,8.324915360512058e-11
0.01001001001001001,4.809971445341577e-09,1.0410336190741668e-10,1.692872339048643e-09
0.012012012012012012,1.3156770803813539e-07,1.664860449729108e-09,1.681747503532414e-08
0.014014014014014014,1.6601207231179698e-06,1.4964963811312585e-08,1.0438241972122142e-07
0.016016016016016016,1.230095101392465e-05,8.990906294217888e-08,4.6598996891250986e-07
0.018018018018018018,6.207319312321436e-05,4.020447167999909e-07,1.6331515896747377e-06
0.02002002002002002,0.0002349924408588918,1.4365011224606262e-06,4.7609277570581025e-06
0.022022022022022022,0.0007130945284047725,4.307254162373911e-06,1.201581976648316e-05
0.024024024024024024,0.0018181049538525981,1.1226330067508865e-05,2.7020557770962124e-05
0.026026026026026026,0.004031247643322917,2.61043446213097e-05,5.530338871148065e-05
0.028028028028028028,0.007977306507737363,5.523136248470788e-05,0.0001046970141689887
0.03003003003003003,0.014371518035098773,0.00010796488801123755,0.00018564038824292353
0.03203203203203203,0.023940186915801097,0.00019734443250808521,0.0003113510454257593
0.03403403403403403,0.037332846393687995,0.0003405591730499491,0.0004978522964524587
0.036036036036036036,0.055043981986128324,0.0005592130499974166,0.0007638552831581814
0.03803803803803804,0.07735751883064905,0.0008793552537654111,0.0011305085651826556
0.04004004004004004,0.10432032134162866,0.0013312686757252562,0.0016210367968452343
0.04204204204204204,0.13574438593456656,0.0019490309141829035,0.0022602951383163014
0.044044044044044044,0.1712326936957822,0.0027698796134255866,0.003074267824978373
0.04604604604604605,0.21022125644918227,0.00383342535386724,0.0040895385176844545
0.04804804804804805,0.2520294521539064,0.005180761088122248,0.005332757445366256
0.050050050050050046,0.29591169072576073,0.006853517965837254,0.006830126634654714
0.05205205205205205,0.34110512600159437,0.008892914378502894,0.008606920281503602
0.05405405405405406,0.3868700015139953,0.011338839345274842,0.01068705300104437
0.056056056056056056,0.4325209320044231,0.014229004041869196,0.01309270460530324
0.058058058058058054,0.4774487920038058,0.017598187272555518,0.015844006401094946
0.06006006006006006,0.5211338486177347,0.02147759272257924,0.018958790878237528
0.062062062062062065,0.5631513618261699,0.025894328421876663,0.022452404108700582
0.06406406406406406,0.6031711492832581,0.03087101233195611,0.026337578189887193
0.06606606606606606,0.640952655427967,0.036425502513044376,0.030624359598299324
