PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.0,0.0,1.4262389423671748e-126,5.996924995848147e-113
0.002002002002002002,5.507358310743723e-97,2.379207502214824e-27,1.992467027310885e-25
0.004004004004004004,2.5385118006416647e-73,5.2039268690200925e-22,1.2068157571787846e-20
0.006006006006006006,4.8191083953845214e-61,3.582359540719228e-19,4.2913196672579886e-18
0.008008008008008008,4.954261751769112e-53,2.7537731127555486e-17,2.1496755861885216e-16
0.01001001001001001,3.234958490988577e-47,6.756633678254731e-16,3.8721552195687355e-15
0.012012012012012012,1.004365511714479e-42,8.280522186615155e-15,3.742062973378334e-14
0.014014014014014014,4.151016196573864e-39,6.384539924347495e-14,2.385114447345531e-13
0.016016016016016016,4.132437156635281e-36,3.540464900395146e-13,1.1303009403642167e-12
0.018018018018018018,1.4357812119621446e-33,1.5360475713426142e-12,4.294721025932937e-12
0.02002002002002002,2.227149633181707e-31,5.515334601263978e-12,1.376042644337193e-11
0.022022022022022022,1.8305290090704404e-29,1.7046112762602755e-11,3.8512918195175284e-11
0.024024024024024024,9.020709872753206e-28,4.665894922348201e-11,9.659924668182619e-11
0.026026026026026026,2.921710666298617e-26,1.1554116442216603e-10,2.213292616186917e-10
0.028028028028028028,6.670592001775502e-25,2.6308616825222803e-10,4.70068008948558e-10
0.03003003003003003,1.133632379991029e-23,5.57878281196874e-10,9.360730655267666e-10
0.03203203203203203,1.4972408108580023e-22,1.1128853280535619e-09,1.763762855035633e-09
0.03403403403403403,1.5910656972800235e-21,2.1055933909867536e-09,3.167715071129072e-09
0.036036036036036036,1.3994050188253205e-20,3.8037413706366044e-09,5.455596016982577e-09
0.03803803803803804,1.0427729193210425e-19,6.59720467577074e-09,9.05511894522348e-09
0.04004004004004004,6.712347867166748e-19,1.1036445855915403e-08,1.4545028157572267e-08
0.04204204204204204,3.794085416017535e-18,1.787780388651824e-08,2.2690010193159028e-08
0.044044044044044044,1.9095114428007025e-17,2.813574115104156e-08,3.447934711557639e-08
0.04604604604604605,8.659275553276422e-17,4.314201499352588e-08,5.116905177782356e-08
0.04804804804804805,3.5746279394596304e-16,6.461159487928651e-08,7.432716211802849e-08
0.050050050050050046,1.3552641244677988e-15,9.471501125705119e-08,1.0588182136562105e-07
0.05205205205205205,4.755772077598516e-15,1.361567014756186e-07,1.4817173327975843e-07
0.05405405405405406,1.555133481922654e-14,1.9225881375067436e-07,2.0399855553738335e-07
0.056056056056056056,4.7671496223429626e-14,2.670498433954038e-07,2.766807791881633e-07
0.058058058058058054,1.3771806630988393e-13,3.6535740669261164e-07,3.701086365732108e-07
0.06006006006006006,3.7670834416204103e-13,4.929044066076055e-07,4.887995830514809e-07
0.062062062062062065,9.797677881254662e-13,6.564078102258871e-07,6.379539080591615e-07
0.06406406406406406,2.4320696004413323e-12,8.636792391846782e-07,8.235100472380489e-07
0.06606606606606606,5.781358993711656e-12,1.123726570039162e-06,1.0521991884661863e-06
0.06806806806806806,1.3201004960744152e-11,1.4468557498983855e-06,1.3315987895500588e-06
0.07007007007007007,2.9033731807668835e-11,1.844772052147919e-06,1.6701846531323483e-06
0.07207207207207207,6.165979623879184e-11,2.3306800260040685e-06,2.0773812341769915e-06
0.07407407407407407,1.2673339627823118e-10,2.91938143041988e-06,2.5636098864635934e-06
