RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN�m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1001 (g),PFA Node 1005 (g),PFA Node 1009 (g),PFA Node 9003 (g),Maximum LRB Displacement (Node 1001) (mm),Maximum Top Displacement (Node 1009) (mm)
496,0.15,62.1534,126.8217,0.105935,0.060152,0.056809,0.068853,0.078923,0.08708,0.088843,0.076101,0.105935,0.083027,0.093051,0.077029,0.050432,0.00921,12.3087,23.79
496,0.25,99.5035,208.919,0.178798,0.104953,0.091492,0.111182,0.132288,0.147055,0.149367,0.126386,0.178798,0.138343,0.151658,0.123718,0.081087,0.015349,19.7174,39.6398
496,0.35,132.0601,285.6758,0.25057,0.153466,0.135829,0.153828,0.187836,0.209679,0.211815,0.176269,0.25057,0.201411,0.20736,0.162546,0.108613,0.021487,26.1816,57.7106
496,0.45,161.3922,357.5481,0.319552,0.202136,0.183034,0.198319,0.244837,0.274274,0.275684,0.226029,0.319552,0.26449,0.260897,0.194175,0.133824,0.027623,32.0087,75.7849
496,0.55,188.5592,427.2899,0.388332,0.250435,0.226559,0.243874,0.302893,0.33945,0.340552,0.276601,0.388332,0.319606,0.314602,0.250667,0.157887,0.033757,37.4096,91.5772
496,0.65,214.1364,495.0393,0.456767,0.297641,0.264198,0.28921,0.360434,0.404158,0.405713,0.327207,0.456767,0.364876,0.369953,0.30405,0.181103,0.039887,42.4967,104.5485
496,0.75,238.1877,560.856,0.524445,0.343622,0.312175,0.334046,0.417301,0.469176,0.470756,0.377289,0.524445,0.409366,0.417328,0.352964,0.202853,0.046015,47.2824,117.2965
496,0.85,260.0738,623.9162,0.592704,0.393145,0.360945,0.377751,0.47366,0.533798,0.535501,0.427331,0.592704,0.462719,0.456284,0.398258,0.223293,0.052141,51.6409,132.5838
496,1.0,286.7609,705.7233,0.686981,0.483569,0.437386,0.453455,0.555961,0.629687,0.631478,0.499795,0.686981,0.531669,0.546889,0.461189,0.251488,0.061325,56.96,152.3401
496,1.5,398.5492,1048.4935,1.146981,0.847577,0.728751,0.721787,0.785978,0.913508,0.92046,0.712019,1.146981,0.781801,0.890613,0.64052,0.319659,0.091904,79.2112,224.0111
496,1.8,465.9926,1269.6355,1.476045,1.109171,0.925474,0.892922,0.951554,1.058812,1.073903,0.825574,1.476045,0.94906,1.128143,0.758648,0.349393,0.110228,92.6641,271.936
496,2.0,508.496,1411.6096,1.716066,1.305614,1.06298,1.005896,1.062755,1.1375,1.159994,0.89084,1.716066,1.062047,1.266066,0.824348,0.364039,0.122437,101.1569,304.3106
496,2.2,549.5937,1552.0803,1.969165,1.520081,1.206923,1.116827,1.168714,1.242003,1.229484,0.964621,1.969165,1.176504,1.376347,0.882339,0.374248,0.13464,109.3527,337.1061
496,2.5,608.1717,1759.5294,2.390635,1.891758,1.432661,1.272906,1.309636,1.385367,1.365697,1.085666,2.390635,1.350902,1.53447,0.949533,0.382266,0.152938,121.0609,387.0767
