PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.0,6.268155547266979e-134,6.755950111674448e-103,2.14050748878129e-85
0.002002002002002002,3.882379067765049e-23,1.2323537688901058e-21,5.370698787391583e-19
0.004004004004004004,1.0210694106283799e-17,2.4943655538476346e-17,2.0874522143993487e-15
0.006006006006006006,6.595657528046024e-15,4.754004529620674e-15,1.6973759970805557e-13
0.008008008008008008,4.4905280341867057e-13,1.5421429448366067e-13,3.1650833372068715e-12
0.01001001001001001,9.602701140060481e-12,1.992154895380986e-12,2.7392819931584827e-11
0.012012012012012012,1.0228366130680108e-10,1.4717162108000325e-11,1.486453611981862e-10
0.014014014014014014,6.869295853419242e-10,7.490641745491772e-11,5.905614001674221e-10
0.016016016016016016,3.3316901691720334e-09,2.9259338917627315e-10,1.8794790139084145e-09
0.018018018018018018,1.2703266758914932e-08,9.386552866409637e-10,5.0704378832055195e-09
0.02002002002002002,4.028397160014767e-08,2.587551239993707e-09,1.2042166588823739e-08
0.022022022022022022,1.104916540147969e-07,6.326087724235116e-09,2.5851963535184388e-08
0.024024024024024024,2.6963755893437555e-07,1.4034120497484731e-08,5.113701878621572e-08
0.026026026026026026,5.978696896267345e-07,2.873795618825303e-08,9.454669678700944e-08
0.028028028028028028,1.2239306316450341e-06,5.5032453218187106e-08,1.651900707548752e-07
0.03003003003003003,2.3422677992714336e-06,9.956389647998785e-08,2.75083998606101e-07
0.03203203203203203,4.2318098968616224e-06,1.7156283082840786e-07,4.3958876936873024e-07
0.03403403403403403,7.275584169626963e-06,2.834142000944691e-07,6.778204544472118e-07
0.036036036036036036,1.1980295687926947e-05,4.512512540942044e-07,1.0130313058190335e-06
0.03803803803803804,1.8995011945946487e-05,6.955596019403355e-07,1.47295167982082e-06
0.04004004004004004,2.912817691802908e-05,1.041778332664009e-06,2.0900889261560133e-06
0.04204204204204204,4.336230005195849e-05,1.5208861250324914e-06,2.901980412232823e-06
0.044044044044044044,6.286581012846909e-05,2.169961576504015e-06,3.9513993319491625e-06
0.04604604604604605,8.900171668816418e-05,3.032708469094531e-06,5.286513176675401e-06
0.04804804804804805,0.00012333287125257467,4.159938255103816e-06,6.960995739006665e-06
0.050050050050050046,0.00016762375854518613,5.610003609363369e-06,9.034094298868358e-06
0.05205205205205205,0.00022383886900498344,7.44917839907937e-06,1.1570654232138393e-05
0.05405405405405406,0.0002941378052000896,9.751980827326832e-06,1.4641103710193946e-05
0.056056056056056056,0.0003808673553422436,1.2601437786106463e-05,1.8321401449870772e-05
0.058058058058058054,0.0004865508274402736,1.6089289595311647e-05,2.2692950650538706e-05
0.06006006006006006,0.0006138749791450287,2.0316135299369015e-05,2.7842482339291574e-05
0.062062062062062065,0.0007656749030593018,2.53915195445722e-05,3.386191135505152e-05
0.06406406406406406,0.0009449172375512048,3.143396277265734e-05,4.084816815362238e-05
0.06606606606606606,0.0011546820713477814,3.857093704850907e-05,4.890300952196524e-05
0.06806806806806806,0.0013981438987667255,4.693879030248166e-05,5.813281116261209e-05
0.07007007007007007,0.001678551963576986,5.668262212219663e-05,6.864834495769239e-05
0.07207207207207207,0.001999210305151366,6.795611448668379e-05,8.056454355428388e-05
0.07407407407407407,0.002363457792523382,8.092132100915062e-05,9.400025473507603e-05
0.07607607607607608,0.002774648401664183,9.574841835482189e-05,0.00010907798785571533
0.07807807807807808,0.0032361319599793943,0.00011261542353782939,0.0001259236544467072
0.08008008008008008,0.0037512355506805115,0.00013170788078592253,0.00014466630489652697
0.08208208208208208,0.004323245739088542,0.0001532185216027881,0.00016543786295599648
0.08408408408408408,0.0049553917536685425,0.00017734690156306446,0.00018837285963384844
0.08608608608608609,0.005650829727100105,0.00020429901725194612,0.00021360816789092247
0.08808808808808809,0.006412628077252181,0.00023428690661586767,0.00024128273938657437
0.09009009009009009,0.007243754084727719,0.00026752823582870975,0.00027153734438610484
0.0920920920920921,0.008147061702760831,0.0003042458756039704,0.0003045143158026138
0.0940940940940941,0.009125280616698886,0.0003446674697016003,0.00034035729822080234
0.0960960960960961,0.010181006554040327,0.0003890249981920071,0.0003792110026336739
0.0980980980980981,0.011316692831938422,0.00043755433785214404,0.00042122096751570794
0.10010010010010009,0.012534643117106815,0.0004904948218819048,0.0004665333267575978
0.1021021021021021,0.013837005363033412,0.000548088800945317,0.0005152945848975928
0.1041041041041041,0.01522576688117553,0.0006105812073616986,0.0005676514000025989
0.1061061061061061,0.01670275049621406,0.0006782191240984787,0.0006237503744778982
0.10810810810810811,0.01826961173032547,0.0007512513600505356,0.0006837378540172652
0.11011011011011011,0.01992783695763533,0.0008299280329314828,0.0007477597348449066
0.11211211211211211,0.021678742467389895,0.0009145001609509945,0.0008159612793466358
0.11411411411411411,0.023523474372779657,0.0010052192643088694,0.0008884869401392946
0.11611611611611611,0.025463009301639125,0.0011023369774019992,0.0009654801925847871
0.11811811811811812,0.027498155805295302,0.0012061046725139336,0.0010470833757169448
0.12012012012012012,0.029629556422539203,0.0013167730956391373,0.0011334375415163382
0.12212212212212212,0.03185769033693369,0.0014345920149843405,0.001224682312438842
0.12412412412412413,0.03418287656735835,0.0015598098825881973,0.0013209557470785184
0.12612612612612611,0.036605277633739684,0.0016926735094068709,0.001422394213823495
0.12812812812812813,0.039124903642248306,0.0018334277541274448,0.0015291322723449837
0.13013013013013014,0.041741616736791,0.001982315225892164,0.001641302562743549
0.13213213213213212,0.044455135866334095,0.0021395760010452314,0.001759035702163849
0.13413413413413414,0.04726504182040985,0.0023054473539485497,0.0018824601886780399
0.13613613613613612,0.05017078248802683,0.0024801635018540454,0.002011702312229365
0.13813813813813813,0.05317167829811218,0.002663955363767261,0.0021468860724206847
0.14014014014014015,0.05626692780249955,0.002857050333189607,0.0022881331029275132
0.14214214214214213,0.05945561336533535,0.003059672064584062,0.002435562602311588
0.14414414414414414,0.06273670692557586,0.0032720402733721027,0.002589291271008695
0.14614614614614616,0.06610907580196888,0.003494370549236283,0.0027494332542634236
0.14814814814814814,0.06957148851255147,0.00372687418247443,0.0029161000907835456
0.15015015015015015,0.0731226205832259,0.003969758003126212,0.003089400666887683
0.15215215215215216,0.07676106032239896,0.004223224232571708,0.0032694411759214763
0.15415415415415415,0.08048531454098068,0.004487470347283231,0.003456325082720211
0.15615615615615616,0.08429381419922244,0.004762688954396886,0.0036501530928986477
0.15815815815815815,0.0881849199639444,0.005049067678757687,0.003851023126752497
0.16016016016016016,0.09215692766164424,0.005346789061082525,0.004059030297560116
0.16216216216216217,0.09620807361480005,0.005656030466877463,0.004274266894077126
0.16416416416416416,0.10033653985038538,0.005976964005740659,0.004496822367021739
0.16616616616616617,0.10454045917119426,0.0063097564606784985,0.004726783319353268
0.16816816816816815,0.10881792008204472,0.0066545692270605795,0.004964233500151547
0.17017017017017017,0.11316697156428857,0.007011558260839167,0.005209253801910568
0.17217217217217218,0.117585627693305,0.007380874035659306,0.005461922261064674
0.17417417417417416,0.12207187209480352,0.007762661508488584,0.005722314061571675
0.17617617617617617,0.12662366223682037,0.008157060093398326,0.0059905015413824324
0.1781781781781782,0.13123893355523936,0.008564203643132654,0.00626655420163243
0.18018018018018017,0.13591560341155146,0.008984220438107112,0.0065505387183962885
0.18218218218218218,0.1406515748823483,0.009417233182483876,0.006842518956851845
0.1841841841841842,0.14544474038075572,0.009863359006977653,0.007142555987705791
0.18618618618618618,0.15029298511065342,0.010322709478053272,0.00745070810573894
0.1881881881881882,0.15519419035509224,0.010795390613183317,0.007767030850333812
0.19019019019019018,0.16014623660082844,0.011281502901842313,0.008091577027853234
0.1921921921921922,0.16514700650133451,0.011781141331922165,0.00842439673574367
0.1941941941941942,0.1701943876810425,0.01229439542126173,0.00876553738824188
0.1961961961961962,0.17528627538390984,0.012821349253992862,0.009115043743569237
0.1981981981981982,0.18042057496969444,0.013362081521413278,0.00947295793250211
0.20020020020020018,0.18559520426156578,0.013916665567105878,0.009839319488212104
0.2022022022022022,0.19080809574890112,0.014485169436033712,0.010214165377274438
0.2042042042042042,0.19605719864927257,0.015067655927347559,0.01059753003174725
0.2062062062062062,0.20134048083378325,0.015664182650653675,0.010989445382229034
0.2082082082082082,0.2066559306200087,0.01627480208549706,0.0113899408918057
0.21021021021021022,0.21200155843688878,0.016899561643824976,0.011799043590803105
0.2122122122122122,0.2173753983659631,0.01753850373520435,0.012216778112264228
0.21421421421421422,0.2227755095633855,0.018191665834575713,0.012643166728075295
0.21621621621621623,0.22819997756715643,0.018859080552333797,0.013078229385667278
0.2182182182182182,0.23364691549401412,0.019540775706535004,0.01352198374522431
0.22022022022022023,0.23911446513040185,0.020236774397039147,0.013974445217333214
0.2222222222222222,0.2446007979218887,0.020947095081401093,0.014435627001011664
0.22422422422422422,0.25010411586538206,0.021671751652336743,0.014905540122056535
0.22622622622622623,0.2556226523083983,0.022410753516594193,0.015384193471655797
0.22822822822822822,0.2611546726595999,0.023164105675070202,0.015871593845211772
0.23023023023023023,0.26669847501472144,0.023931808804017882,0.01636774598132523
0.23223223223223222,0.2722523907019249,0.024713859337199755,0.0168726526008934
0.23423423423423423,0.27781478475053545,0.025510249548847192,0.01738631444627709
0.23623623623623624,0.2833840562870067,0.026320967637293587,0.01790873032049496
0.23823823823823823,0.28895863886186907,0.027145997809155435,0.018439897126405314
0.24024024024024024,0.2945370007113105,0.027985320363942495,0.018979809905838214
0.24224224224224225,0.30011764495692705,0.02883891177898305,0.019528461878642624
0.24424424424424424,0.30569910974707926,0.029706744794557833,0.020085844481616245
0.24624624624624625,0.3112799683431754,0.030588788499140335,0.020651947407286424
0.24824824824824826,0.3168588291540927,0.031485008414648484,0.021226758642514092
0.2502502502502503,0.3224343357218397,0.03239536658161631,0.021810264506892958
0.25225225225225223,0.32800516666144763,0.033319821644201046,0.02240244969091942
0.25425425425425424,0.3335700355579718,0.034258328934944855,0.02300329729390922
0.25625625625625625,0.33912769082337146,0.035210840559215396,0.023612788861639183
0.25825825825825827,0.3446769155159334,0.03617730547925517,0.024230904423693585
0.2602602602602603,0.35021652712479157,0.0371576695977721,0.024857622530496656
0.26226226226226224,0.3557453773219936,0.03815187584100966,0.025492920290013214
0.26426426426426425,0.3612623516844631,0.03915986424123844,0.026136773404101827
0.26626626626626626,0.36676636938810114,0.04018157201861448,0.02678915620450582
0.2682682682682683,0.372256382876175,0.04121693366235392,0.02745004168846763
0.2702702702702703,0.37773137750404645,0.04226588101117756,0.028119401553955505
0.27227227227227224,0.3831903711621928,0.04332834333298111,0.028797206234489902
0.27427427427427425,0.38863241387938824,0.04440424740369137,0.0294834249335603
0.27627627627627627,0.3940565874078194,0.045493517585270885,0.03017802565862229
0.2782782782782783,0.3994620047918252,0.04659607590283752,0.030880975254667254
0.2802802802802803,0.40484780992186864,0.047711842120867244,0.03159223943735716
0.2822822822822823,0.4102131770752609,0.04884073381845185,0.0323117828257173
0.28428428428428426,0.4155573104450874,0.04998266646358578,0.03303956897438175
