RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN�m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1001 (g),PFA Node 1005 (g),PFA Node 1009 (g),PFA Node 9003 (g),Maximum LRB Displacement (Node 1001) (mm),Maximum Top Displacement (Node 1009) (mm)
2510,0.054,343.5982,1154.6152,2.304565,2.231328,1.861616,1.517553,1.322118,1.201636,1.100549,0.945426,2.304565,1.779176,0.21657,0.143725,0.198203,0.176159,68.6116,509.791
2510,0.053,328.5658,1063.0781,1.972086,1.829941,1.49999,1.271768,1.152128,1.066796,0.98575,0.840453,1.972086,1.542256,0.168081,0.123945,0.156289,0.172058,65.5593,441.9058
3282,0.01,59.2037,129.2315,0.113165,0.078572,0.074592,0.075435,0.075772,0.074753,0.071692,0.061094,0.113165,0.117663,0.01405,0.026258,0.031063,0.007459,11.7344,33.7143
3282,0.05,211.4094,542.3775,0.548477,0.427479,0.405293,0.399503,0.392096,0.377298,0.348851,0.281799,0.548477,0.533932,0.061976,0.096778,0.117724,0.035097,42.0173,152.9887
3282,0.025,135.8667,320.2839,0.298149,0.223465,0.204346,0.196052,0.188783,0.180454,0.168638,0.140927,0.298149,0.291975,0.038954,0.062992,0.066682,0.018333,26.9679,83.6602
3282,0.035,173.9885,427.6644,0.410784,0.315161,0.293622,0.284897,0.276088,0.263801,0.244083,0.199851,0.410784,0.399783,0.051415,0.077053,0.090316,0.025209,34.5577,114.5507
3282,0.065,244.4073,637.2486,0.669992,0.50629,0.471362,0.469896,0.464551,0.449075,0.417225,0.336323,0.669992,0.613533,0.088776,0.113602,0.138418,0.045432,48.5902,175.7968
3282,0.075,256.5268,678.4949,0.736624,0.565135,0.510985,0.49067,0.477638,0.464744,0.434141,0.35017,0.736624,0.660794,0.087227,0.121057,0.148789,0.05249,51.0117,189.3387
3282,0.09,268.7282,730.7871,0.838206,0.662313,0.594184,0.559418,0.534057,0.513684,0.476712,0.384848,0.838206,0.746577,0.108349,0.121812,0.161119,0.062487,53.4645,213.9182
3282,0.1,282.156,779.41,0.92685,0.736162,0.657224,0.614483,0.579109,0.542356,0.495229,0.401154,0.92685,0.809806,0.115505,0.129523,0.167631,0.068911,56.145,232.0353
3282,0.15,328.0091,935.6398,1.278276,1.070057,0.922044,0.846944,0.793629,0.743733,0.685598,0.56722,1.278276,1.061006,0.167037,0.165594,0.174618,0.103674,65.3064,304.012
3282,0.17,342.2893,994.6315,1.430055,1.22139,1.050147,0.955698,0.89254,0.837431,0.773743,0.643407,1.430055,1.170427,0.177019,0.166964,0.177982,0.119256,68.167,335.3648
3282,0.175,345.0092,1006.3776,1.460454,1.25282,1.078859,0.978694,0.912833,0.856563,0.792043,0.659169,1.460454,1.192725,0.183351,0.164794,0.17978,0.123162,68.7117,341.7538
3282,0.18,347.2423,1016.1815,1.487429,1.281357,1.105271,0.999711,0.931358,0.873932,0.808629,0.673452,1.487429,1.212829,0.187132,0.170597,0.181339,0.127035,69.1604,347.5143
3282,0.2,351.0052,1039.0675,1.6286,1.437343,1.189732,1.07099,0.996702,0.937615,0.868747,0.725804,1.6286,1.28758,0.209307,0.193059,0.186156,0.142046,69.9225,368.9328
3282,0.25,373.0909,1129.3888,2.166606,2.091713,1.860495,1.630323,1.455837,1.341999,1.23101,1.042866,2.166606,1.790311,0.276097,0.233625,0.192039,0.177138,74.2956,512.9814
3282,0.3,392.9537,1255.9753,2.886913,2.902651,2.442772,2.022975,1.738553,1.569987,1.435999,1.22884,2.902651,2.226455,0.317543,0.237029,0.218339,0.20988,78.2806,637.9507
3282,0.255,374.7944,1139.5169,2.184372,2.17651,1.947504,1.705068,1.512827,1.390056,1.272441,1.078503,2.184372,1.851242,0.280238,0.233599,0.194273,0.180482,74.634,530.44
3282,0.258,375.7248,1149.2768,2.217459,2.225972,1.998084,1.748895,1.545995,1.417764,1.296604,1.099301,2.225972,1.886761,0.282504,0.233001,0.196135,0.182477,74.8204,540.6174
3282,0.275,378.9666,1188.1087,2.412866,2.469809,2.225694,1.936296,1.686217,1.525483,1.38937,1.180276,2.469809,2.044547,0.298614,0.238459,0.205138,0.193523,75.4623,585.8281
3282,0.29,384.8597,1207.7218,2.60509,2.589682,2.222528,1.874769,1.606356,1.467859,1.344924,1.147931,2.60509,2.057767,0.309112,0.24154,0.212896,0.203339,76.6585,589.6162
4199,0.05,228.6929,598.9567,0.626803,0.48594,0.452226,0.439474,0.426056,0.406982,0.375162,0.303025,0.626803,0.592632,0.070171,0.093603,0.12146,0.086126,45.4695,169.8079
4199,0.025,154.742,377.0129,0.359145,0.277777,0.261382,0.256198,0.250381,0.24068,0.223985,0.184991,0.359145,0.363303,0.04466,0.060135,0.084148,0.039349,30.7308,104.0981
4199,0.035,184.4991,463.9401,0.454444,0.352566,0.332203,0.325507,0.3172,0.303641,0.280601,0.228742,0.454444,0.451664,0.060397,0.072807,0.10022,0.05699,36.6605,129.4162
4199,0.045,208.6431,533.7631,0.536786,0.415381,0.388922,0.378429,0.367894,0.351565,0.323955,0.262114,0.536786,0.517488,0.067972,0.088718,0.110917,0.075186,41.4695,148.277
4199,0.075,292.1607,815.4806,1.033026,0.845639,0.759507,0.716219,0.68096,0.644157,0.596246,0.489282,1.033026,0.913376,0.111648,0.114109,0.152101,0.165255,58.1534,261.7113
4199,0.1,353.6686,1184.4165,2.37592,2.321537,1.951281,1.588669,1.379444,1.248788,1.14096,0.980927,2.37592,1.841228,0.224035,0.148552,0.198094,0.177385,70.6258,527.5706
4199,0.09,353.8666,1199.7709,2.533041,2.488087,2.047856,1.654308,1.419401,1.282657,1.171308,1.006923,2.533041,1.910153,0.21353,0.168396,0.213148,0.177919,70.6736,547.3199
4199,0.08,354.4103,1201.6276,2.522454,2.465791,2.035474,1.651871,1.428886,1.293513,1.181521,1.016389,2.522454,1.914613,0.230751,0.142742,0.193645,0.182983,70.7864,548.598
4199,0.077,296.3525,858.025,1.23553,1.020417,0.873317,0.806712,0.767162,0.731506,0.684154,0.570322,1.23553,1.035949,0.110705,0.114119,0.152516,0.17642,58.9896,296.8326
4199,0.079,349.1119,1142.9167,2.115578,1.988134,1.635893,1.379828,1.237563,1.141971,1.053531,0.901039,2.115578,1.648847,0.208152,0.121974,0.158062,0.183122,69.6912,472.4475
