PGA (g),With LRB PoE(IO),Without LRB PoE(IO),With LRB PoE(LS),Without LRB PoE(LS),With LRB PoE(CP),Without LRB PoE(CP)
0.9309309309,0.9817064142,0.9999450488,0.5913860993,0.4366438986,0.4344842808,0.3094840811
0.9329329329,0.9818928436,0.9999469653,0.5927053364,0.4381061706,0.4356768997,0.3107005634
0.9349349349,0.9820772566,0.9999488147,0.5940206982,0.4395661509,0.4368675454,0.3119165045
0.9369369369,0.9822596762,0.9999505994,0.5953321893,0.4410238281,0.4380562147,0.3131318913
0.9389389389,0.982440125,0.9999523216,0.5966398143,0.4424791908,0.4392429042,0.314346711
0.9409409409,0.9826186253,0.9999539835,0.5979435781,0.4439322278,0.4404276106,0.3155609509
0.9429429429,0.9827951993,0.9999555872,0.5992434854,0.4453829283,0.4416103309,0.3167745982
0.9449449449,0.9829698687,0.9999571347,0.6005395413,0.4468312814,0.4427910619,0.3179876405
0.9469469469,0.9831426552,0.9999586281,0.6018317506,0.4482772766,0.4439698008,0.3192000652
0.9489489489,0.9833135801,0.9999600693,0.6031201186,0.4497209032,0.4451465445,0.3204118601
0.950950951,0.9834826645,0.99996146,0.6044046503,0.4511621511,0.4463212903,0.3216230128
0.952952953,0.9836499292,0.999962802,0.605685351,0.45260101,0.4474940354,0.3228335113
0.954954955,0.9838153948,0.9999640971,0.6069622261,0.4540374701,0.4486647771,0.3240433435
0.956956957,0.9839790816,0.9999653469,0.6082352809,0.4554715214,0.4498335128,0.3252524974
0.958958959,0.9841410097,0.9999665529,0.609504521,0.4569031544,0.4510002399,0.3264609613
0.960960961,0.9843011991,0.9999677168,0.6107699518,0.4583323596,0.452164956,0.3276687233
0.962962963,0.9844596694,0.9999688399,0.612031579,0.4597591275,0.4533276587,0.3288757719
0.964964965,0.9846164399,0.9999699238,0.6132894083,0.4611834491,0.4544883456,0.3300820955
0.966966967,0.9847715298,0.9999709698,0.6145434454,0.4626053153,0.4556470145,0.3312876826
0.968968969,0.9849249582,0.9999719792,0.6157936962,0.4640247172,0.4568036631,0.332492522
0.970970971,0.9850767437,0.9999729533,0.6170401665,0.4654416461,0.4579582894,0.3336966023
0.972972973,0.9852269049,0.9999738934,0.6182828624,0.4668560934,0.4591108913,0.3348999124
0.974974975,0.98537546,0.9999748006,0.6195217898,0.4682680508,0.4602614668,0.3361024413
0.976976977,0.9855224271,0.9999756761,0.6207569549,0.4696775099,0.4614100139,0.3373041781
0.978978979,0.9856678241,0.999976521,0.6219883637,0.4710844626,0.4625565308,0.3385051118
0.980980981,0.9858116687,0.9999773364,0.6232160226,0.472488901,0.4637010158,0.3397052316
0.982982983,0.9859539784,0.9999781233,0.6244399377,0.4738908171,0.464843467,0.340904527
0.984984985,0.9860947703,0.9999788827,0.6256601154,0.4752902034,0.4659838827,0.3421029874
0.986986987,0.9862340615,0.9999796156,0.6268765622,0.4766870522,0.4671222615,0.3433006022
0.988988989,0.9863718689,0.9999803229,0.6280892844,0.4780813562,0.4682586017,0.3444973611
0.990990991,0.9865082091,0.9999810055,0.6292982885,0.4794731081,0.4693929018,0.3456932539
0.992992993,0.9866430986,0.9999816643,0.6305035812,0.4808623008,0.4705251605,0.3468882702
0.994994995,0.9867765537,0.9999823001,0.6317051689,0.4822489273,0.4716553762,0.3480823999
