RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN�m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1001 (g),PFA Node 1005 (g),PFA Node 1009 (g),PFA Node 9003 (g),Maximum LRB Displacement (Node 1001) (mm),Maximum Top Displacement (Node 1009) (mm)
3282,0.13,305.9435,884.887,0.795567,1.084232,1.079712,1.023403,0.965855,0.894625,0.805882,0.647349,1.084232,0.908038,0.13,0.146933,0.20031,0.092503,0.0,258.1097
3282,0.15,318.7305,896.5143,0.927398,1.236165,1.22873,1.154888,1.07789,0.996038,0.898146,0.724807,1.236165,1.025902,0.15,0.164674,0.206329,0.105445,0.0,291.6126
3282,0.17,324.4123,904.5951,1.005561,1.317841,1.297641,1.218129,1.129583,1.042709,0.941669,0.763144,1.317841,1.085264,0.17,0.185295,0.222468,0.118049,0.0,308.4863
3282,0.19,332.4545,913.6942,1.05357,1.372587,1.344766,1.256254,1.160383,1.070215,0.967952,0.787765,1.372587,1.12354,0.19,0.202138,0.234509,0.130711,0.0,319.3664
3282,0.21,333.2791,931.565,1.094487,1.413253,1.379306,1.279488,1.177957,1.085678,0.982951,0.802872,1.413253,1.14929,0.21,0.215452,0.245201,0.143473,0.0,326.6858
3282,0.25,332.4885,932.8445,1.304456,1.546847,1.450961,1.294537,1.153207,1.030714,0.921817,0.759729,1.546847,1.177115,0.25,0.254455,0.270812,0.169796,0.0,334.595
3282,0.35,356.9913,937.1617,2.599301,2.586856,2.366922,2.118449,1.888031,1.696773,1.533934,1.277075,2.599301,1.989211,0.35,0.320191,0.258089,0.243818,0.0,565.4333
3282,0.3,333.4571,942.935,1.669483,1.899021,1.831306,1.667674,1.511775,1.391521,1.269508,1.054355,1.899021,1.536891,0.3,0.286301,0.274837,0.207958,0.0,436.8613
4199,0.05,261.0268,720.3557,0.397684,0.564556,0.58556,0.580869,0.564448,0.540012,0.498334,0.395964,0.58556,0.512434,0.05,0.080032,0.156837,0.078691,0.0,145.6593
4199,0.04,229.0692,632.8045,0.292197,0.417749,0.439972,0.442015,0.432759,0.413476,0.379582,0.30098,0.442015,0.388344,0.04,0.070057,0.129696,0.062234,0.0,110.3867
4199,0.1,309.9295,914.2431,0.931779,1.242343,1.210483,1.122349,1.045621,0.96919,0.879289,0.714289,1.242343,1.009855,0.1,0.119202,0.181685,0.15408,0.0,287.0513
4199,0.12,315.3631,918.2891,1.278852,1.578012,1.528668,1.393507,1.267445,1.1674,1.056787,0.864849,1.578012,1.25758,0.12,0.153215,0.218968,0.19888,0.0,357.4671
4199,0.11,309.8439,924.2037,1.162406,1.469191,1.42411,1.305276,1.19402,1.101637,0.997913,0.814373,1.469191,1.175414,0.11,0.140229,0.206616,0.176024,0.0,334.1114
4199,0.15,324.5444,906.5669,2.291648,2.188786,1.893647,1.588784,1.387148,1.265124,1.15573,0.981812,2.291648,1.587825,0.15,0.185166,0.192787,0.229707,0.0,451.3393
4199,0.16,327.1255,915.6424,2.670567,2.433143,2.031433,1.702137,1.483026,1.355004,1.2368,1.050051,2.670567,1.731683,0.16,0.154477,0.193146,0.247287,0.0,492.2308
4199,0.155,326.3894,912.1353,2.477043,2.341698,1.998221,1.671762,1.460301,1.332315,1.215325,1.030759,2.477043,1.681668,0.155,0.173617,0.19321,0.238511,0.0,478.0142
5259,0.05,229.7518,636.5792,0.301983,0.434541,0.4612,0.467712,0.461781,0.444258,0.410506,0.32562,0.467712,0.411634,0.05,0.084337,0.128959,0.089732,0.0,117.007
5259,0.06,254.3809,697.8633,0.365811,0.517802,0.537367,0.535351,0.524559,0.50334,0.465903,0.37069,0.537367,0.475702,0.06,0.093889,0.139052,0.108394,0.0,135.2182
5259,0.1,299.7607,855.1848,0.679397,0.92962,0.926147,0.887704,0.841783,0.789101,0.724346,0.587639,0.92962,0.793457,0.1,0.12061,0.174751,0.194258,0.0,225.5402
5259,0.13,317.1473,905.8005,3.323407,2.761457,2.22054,1.85177,1.599026,1.452803,1.319255,1.116492,3.323407,1.877242,0.13,0.164818,0.199124,0.274488,0.0,533.6059
5259,0.11,301.3597,866.1541,0.740887,1.004521,0.996507,0.948668,0.898987,0.842186,0.773458,0.629835,1.004521,0.852153,0.11,0.131452,0.183294,0.221025,0.0,242.2245
5259,0.12,308.4529,896.5546,2.816456,2.568733,2.104762,1.751803,1.515885,1.380976,1.25921,1.069391,2.816456,1.781405,0.12,0.148777,0.190437,0.255186,0.0,506.3645
5259,0.115,304.5215,877.4589,0.791784,1.06981,1.054053,0.996507,0.941467,0.880688,0.808064,0.659315,1.06981,0.897893,0.115,0.136818,0.187105,0.2352,0.0,255.226
5259,0.117,306.2746,882.5861,0.817256,1.101771,1.082058,1.019458,0.96145,0.898633,0.824071,0.673081,1.101771,0.919897,0.117,0.139022,0.188482,0.242558,0.0,261.4807
5259,0.119,307.6447,893.9132,2.554181,2.311432,1.930464,1.607741,1.398753,1.277655,1.168518,0.995863,2.554181,1.64581,0.119,0.141182,0.1898,0.252882,0.0,467.8214
5676,0.05,179.1792,504.638,0.192307,0.283151,0.305846,0.312314,0.309502,0.298438,0.275682,0.220813,0.312314,0.272987,0.05,0.061825,0.101952,0.043043,0.0,77.5966
5676,0.07,231.3342,637.2292,0.298774,0.428562,0.457333,0.466329,0.462164,0.44486,0.409714,0.323482,0.466329,0.409207,0.07,0.087376,0.152079,0.061049,0.0,116.3171
5676,0.09,262.0273,713.3201,0.374417,0.521426,0.541639,0.542489,0.529553,0.503477,0.460343,0.362356,0.542489,0.473573,0.09,0.09893,0.16692,0.078215,0.0,134.6133
5676,0.15,302.7429,885.6853,0.79545,1.101529,1.107828,1.0515,0.988587,0.915024,0.82837,0.670709,1.107828,0.930375,0.15,0.174308,0.18562,0.133813,0.0,264.459
