RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN�m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1001 (g),PFA Node 1005 (g),PFA Node 1009 (g),PFA Node 9003 (g),Maximum LRB Displacement (Node 1001) (mm),Maximum Top Displacement (Node 1009) (mm)
410,0.55,279.4669,780.2184,0.452812,0.637375,0.647562,0.613677,0.580261,0.619395,0.610915,0.481894,0.647562,0.533712,0.688327,0.538363,0.244296,0.069805,0.0,151.7076
410,0.6,283.1091,795.9872,0.485674,0.686205,0.700878,0.663798,0.627413,0.667757,0.65737,0.516155,0.700878,0.574993,0.750902,0.579269,0.256391,0.076592,0.0,163.4418
410,0.65,284.6125,802.1669,0.511194,0.72545,0.746139,0.709423,0.673384,0.713947,0.702713,0.550061,0.746139,0.612313,0.813477,0.618123,0.26722,0.083289,0.0,174.05
410,0.75,296.8627,809.7759,0.546991,0.787593,0.820876,0.793606,0.758204,0.801894,0.791147,0.617075,0.820876,0.681014,0.938627,0.687266,0.287754,0.096373,0.0,193.5781
410,0.85,325.4592,810.0686,0.574859,0.835645,0.883069,0.867136,0.830323,0.883654,0.875261,0.679803,0.883654,0.740493,1.063778,0.768664,0.306078,0.109195,0.0,210.4851
410,0.9,338.8992,841.8412,0.586042,0.855597,0.91106,0.900402,0.862908,0.922329,0.916474,0.710626,0.922329,0.767432,1.126353,0.81013,0.314281,0.115583,0.0,218.1426
410,1,364.2509,905.575,0.601548,0.886028,0.957702,0.957474,0.923673,0.996844,0.996299,0.771706,0.996844,0.814733,1.251503,0.883682,0.32914,0.128438,0.0,231.5879
410,1.1,386.6798,960.3395,0.605871,0.90648,0.997541,1.012839,0.979367,1.068265,1.073301,0.832302,1.073301,0.856769,1.376653,0.946179,0.342468,0.141487,0.0,243.5366
410,1.2,406.2721,1007.3761,0.649085,0.924038,1.033968,1.064554,1.035292,1.134979,1.145889,0.890316,1.145889,0.896098,1.501804,0.990435,0.354102,0.154774,0.0,254.7159
410,1.3,423.4629,1043.1336,0.72916,0.934986,1.062434,1.110631,1.090278,1.198626,1.214833,0.945838,1.214833,0.930427,1.626954,1.016927,0.36469,0.168204,0.0,264.4739
410,1.4,435.2867,1066.7129,0.809425,0.941961,1.083558,1.153346,1.148019,1.256124,1.274491,0.993982,1.274491,0.965178,1.752104,1.041067,0.372679,0.181768,0.0,274.3519
410,1.5,444.5627,1085.5374,0.893574,0.992165,1.103395,1.192825,1.204179,1.30528,1.323961,1.03384,1.323961,1.001296,1.877254,1.046386,0.378162,0.195305,0.0,284.6184
410,1.8,467.5687,1119.1144,1.159512,1.268069,1.254236,1.328969,1.396752,1.433824,1.44744,1.131676,1.44744,1.127165,2.252705,1.162067,0.385734,0.235747,0.0,320.3966
410,2,480.0014,1134.8728,1.348602,1.496526,1.413044,1.439712,1.542812,1.597118,1.541548,1.216346,1.597118,1.332948,2.503006,1.225777,0.387912,0.261378,0.0,378.8905
410,2.5,493.7887,1144.7463,4.302214,3.383436,2.44773,2.33612,2.305418,2.26808,2.135262,1.752384,4.302214,2.341201,3.128757,1.328891,0.383698,0.306766,0.0,665.4863
410,2.2,488.0224,1142.5832,2.69568,2.584506,2.237322,2.004793,1.877794,1.893436,1.795464,1.437897,2.69568,1.970687,2.753307,1.275926,0.388466,0.281627,0.0,560.1678
410,2.1,484.7953,1138.949,1.910946,2.039903,1.886527,1.720397,1.700523,1.744111,1.669343,1.327593,2.039903,1.655669,2.628156,1.252759,0.388333,0.272397,0.0,470.6239
496,0.05,37.1265,98.0979,0.029226,0.041207,0.044679,0.047346,0.049253,0.049864,0.048407,0.040635,0.049864,0.04255,0.05,0.040724,0.025407,0.003099,0.0,12.0949
496,0.1,72.6771,193.3083,0.058148,0.082794,0.089952,0.095083,0.09847,0.099165,0.095797,0.080355,0.099165,0.085011,0.1,0.081357,0.049495,0.006197,0.0,24.1644
496,0.15,104.0949,284.8584,0.088528,0.13273,0.145665,0.150353,0.149809,0.149156,0.142116,0.117587,0.150353,0.131647,0.15,0.121654,0.070445,0.009296,0.0,37.4205
496,0.25,163.9166,453.7919,0.155024,0.223208,0.235317,0.25085,0.257022,0.253413,0.236984,0.190393,0.257022,0.217141,0.25,0.200323,0.10639,0.015491,0.0,61.7224
496,0.35,201.2292,557.0869,0.210306,0.297189,0.322048,0.347003,0.35824,0.35453,0.330974,0.262333,0.35824,0.300539,0.35,0.275489,0.13774,0.02168,0.0,85.4283
496,0.4,219.5876,607.5515,0.232539,0.319089,0.361,0.39098,0.404623,0.400707,0.374269,0.295404,0.404623,0.338769,0.4,0.312199,0.150891,0.024773,0.0,96.2952
496,0.45,231.7684,640.5989,0.256323,0.350834,0.396889,0.431591,0.44812,0.443873,0.41469,0.326346,0.44812,0.374412,0.45,0.347256,0.162365,0.027865,0.0,106.4266
496,0.5,238.4384,659.6548,0.271388,0.373964,0.429863,0.468588,0.488001,0.484323,0.452414,0.355444,0.488001,0.407288,0.5,0.381661,0.176837,0.030956,0.0,115.7716
496,0.8,302.0066,832.8928,0.466135,0.627012,0.594668,0.605046,0.647603,0.664394,0.634464,0.498014,0.664394,0.544693,0.8,0.571697,0.256006,0.04948,0.0,154.829
496,1.0,320.6889,878.2035,0.584224,0.772242,0.741457,0.667172,0.704883,0.794828,0.786992,0.605238,0.794828,0.595817,1.0,0.674592,0.295252,0.061809,0.0,169.3609
496,1.5,385.9174,962.2541,0.807995,1.05846,1.025545,0.95515,0.97432,1.142629,1.146182,0.873361,1.146182,0.862819,1.5,0.813293,0.364093,0.092553,0.0,245.2563
