Drift (%),Base Shear (kN)
0.000177304964539002,0.7537650909237784
0.00035460992907800906,1.507506706700949
0.0005319148936170162,2.26122484242493
0.0007092198581560233,3.01491949530424
0.0008865248226950303,3.7685888031102173
0.0010638297872340374,4.522227548240811
0.0012411347517730445,5.275835062180867
0.0014184397163120514,6.0294113416962265
0.0015957446808510588,6.782956383552368
0.0017730496453900655,7.536470184513512
0.0019503546099290726,8.289952327376037
0.00212765957446808,9.043402020258458
0.0023049645390070873,9.796818973357574
0.0024822695035460946,10.550203183547476
0.0026595744680851015,11.303554647702347
0.002836879432624109,12.056873362695324
0.0030141843971631162,12.810159325398692
0.0031914893617021236,13.563412532683905
0.0033687943262411305,14.316632981421655
0.003546099290780138,15.069820668481615
0.0037234042553191448,15.822973681017697
0.0039007092198581526,16.576094603605682
0.00407801418439716,17.329178829430084
0.004255319148936167,18.08222789597978
0.004432624113475174,18.83524186899315
0.0046099290780141815,19.58821712981957
0.004787234042553189,20.34115668030994
0.004964539007092195,21.094058397256358
0.005141843971631203,21.846922277251412
0.005319148936170211,22.599748316886952
0.005496453900709218,23.35253651275357
0.005673758865248225,24.10528686144076
0.005851063829787232,24.857999359537374
0.006028368794326239,25.610673271114116
0.006205673758865247,26.363309726386554
0.006382978723404253,27.115905492604416
0.0065602836879432615,27.86846496169454
0.006737588652482268,28.62098559220869
0.006914893617021276,29.373467380789585
0.007092198581560283,30.12591032407972
0.00726950354609929,30.878314418700914
0.0074468085106382965,31.63067966128807
0.007624113475177303,32.38300604848009
0.0078014184397163094,33.13529357691478
0.007978723404255317,33.88754224322891
0.008156028368794322,34.63975204405818
0.00833333333333333,35.39192297603733
0.008510638297872335,36.14405503579983
0.008687943262411343,36.896148219978585
0.008865248226950348,37.648202525204724
0.009042553191489356,38.40021794810877
0.009219858156028361,39.15219448532017
0.009397163120567369,39.90413213346712
0.009574468085106374,40.656030889176925
0.009751773049645382,41.407890749075726
0.009929078014184387,42.15971170978875
0.010106382978723395,42.91149376793998
0.0102836879432624,43.66323692015234
0.010460992907801408,44.414941163047864
0.010638297872340413,45.16660649324723
0.01081560283687942,45.918232907370275
0.010992907801418426,46.66982040203572
0.011170212765957433,47.42136897386139
0.011347517730496439,48.17287861946359
0.011524822695035446,48.924349335457904
0.011702127659574452,49.675781118458886
0.01187943262411346,50.42717396507971
0.012056737588652465,51.17852787193267
0.012234042553191472,51.92984283562906
0.012411347517730478,52.681118852779086
0.012588652482269485,53.43235591999159
0.012765957446808491,54.18355403387467
0.012943262411347498,54.934713191035165
0.013120567375886504,55.68583338807905
0.013297872340425511,56.43691462161096
0.013475177304964517,57.18795688823452
0.013652482269503524,57.93896018455229
0.01382978723404253,58.68992450716594
0.014007092198581537,59.440849852675875
0.014184397163120543,60.19173621768115
0.01436170212765955,60.94258359877727
0.014539007092198556,61.69339199255942
0.014716312056737563,62.444161395622565
0.014893617021276569,63.19489180456231
0.015070921985815576,63.94558321597235
0.015248226950354582,64.69623562644571
0.015425531914893589,65.44684903257395
0.015602836879432595,66.19742343094792
0.015780141843971602,66.94795881815708
0.01595744680851061,67.69845519078994
0.016134751773049613,68.44891254543403
0.01631205673758862,69.19933087867554
0.016489361702127628,69.94971018709958
0.016666666666666635,70.70005046729038
0.01684397163120564,71.45035171583092
0.017021276595744646,72.20061392930329
0.017198581560283654,72.9508371042881
0.01737588652482266,73.70102123736521
0.017553191489361665,74.45116630835368
0.017730496453900672,75.20127234735081
0.01790780141843968,75.95133933417289
0.018085106382978687,76.70136726539518
0.01826241134751769,77.45135613759207
0.0184397163120567,78.20130594733672
0.018617021276595706,78.951216691201
0.018794326241134713,79.70108836575601
0.018971631205673717,80.45090697729759
0.019148936170212724,81.20068559641601
0.01932624113475173,81.95042513739402
0.01950354609929074,82.70012559679832
0.019680851063829743,83.449786971195
0.01985815602836875,84.19940925714822
0.020035460992907757,84.94899245122144
0.020212765957446765,85.69853654997718
0.02039007092198577,86.44804154997661
0.020567375886524776,87.19721316745961
0.02074468085106378,87.94587658353272
0.020921985815602787,88.69381249690662
0.02109929078014179,89.44170924402371
0.0212765957446808,90.18956682138497
0.021453900709219806,90.93738522548921
0.021631205673758813,91.68516445283122
0.02180851063829782,92.43230649549692
0.021985815602836824,93.17883923444101
0.022163120567375832,93.92425137466209
0.02234042553191484,94.66919941325969
0.022517730496453843,95.41381018296273
0.02269503546099285,96.15838164326819
0.022872340425531858,96.9029137905534
0.023049645390070865,97.64740662118983
0.023226950354609872,98.39177953120434
0.023404255319148876,99.13542574867965
0.023581560283687884,99.87871884755405
0.02375886524822689,100.62103265209176
0.023936170212765895,101.36330314476922
0.024113475177304902,102.10521988383945
0.02429078014184391,102.84693065362035
0.024468085106382917,103.5886019958954
0.024645390070921924,104.32998476566681
0.024822695035460928,105.07120893395667
0.024999999999999935,105.81195367906112
