PGA (g),With LRB PoE(IO),Without LRB PoE(IO),With LRB PoE(LS),Without LRB PoE(LS),With LRB PoE(CP),Without LRB PoE(CP)
0,5.46E-32,2.62E-289,2.22E-75,5.51E-119,4.27E-201,2.37E-63
0.002002002002,0.004912368122,7.12E-28,3.96E-11,4.28E-16,3.45E-32,2.34E-10
0.004004004004,0.04011564572,5.64E-18,2.93E-08,1.30E-11,3.87E-24,6.84E-08
0.006006006006,0.103418523,2.95E-13,8.25E-07,2.29E-09,5.38E-20,1.25E-06
0.008008008008,0.1796358516,2.19E-10,6.99E-06,6.14E-08,2.61E-17,8.18E-06
0.01001001001,0.2582600091,1.98E-08,3.21E-05,6.31E-07,2.27E-15,3.16E-05
0.01201201201,0.3337001442,5.25E-07,0.0001023177759,3.68E-06,7.03E-14,8.92E-05
0.01401401401,0.4033999028,6.33E-06,0.0002570518541,1.48E-05,1.10E-12,0.0002045177901
0.01601601602,0.4664638854,4.45E-05,0.0005464224529,4.59E-05,1.07E-11,0.0004052157711
0.01801801802,0.5228534048,0.0002119996821,0.001027579809,0.0001180518406,7.27E-11,0.0007211588147
0.02002002002,0.5729434187,0.0007571152898,0.001760539774,0.0002627822596,3.78E-10,0.00118252584
0.02202202202,0.6172847334,0.002166419215,0.002804433887,0.0005229903095,1.59E-09,0.001818378324
0.02402402402,0.6564792538,0.00521029552,0.004214503137,0.0009519081809,5.63E-09,0.00265559208
0.02602602603,0.6911168658,0.01090739035,0.0060399314,0.001611227712,1.73E-08,0.00371814363
0.02802802803,0.7217457176,0.02040414181,0.008322467416,0.002568456017,4.75E-08,0.005026692985
0.03003003003,0.7488604134,0.03480096251,0.0110957151,0.003893921537,1.18E-07,0.006598399251
0.03203203203,0.7728996089,0.05497419567,0.01438495082,0.005657763783,2.70E-07,0.008446910271
0.03403403403,0.7942483263,0.08143843349,0.01820733152,0.007927160046,5.76E-07,0.01058247629
0.03603603604,0.8132424272,0.1142752111,0.0225723745,0.0107639556,1.15E-06,0.01301214727
0.03803803804,0.8301738597,0.1531325109,0.02748261179,0.01422278588,2.18E-06,0.01574002253
0.04004004004,0.8452959518,0.1972828632,0.03293434268,0.01834971676,3.93E-06,0.0187675289
0.04204204204,0.8588283937,0.245719194,0.0389184273,0.02318138395,6.80E-06,0.02209371025
0.04404404404,0.8709617489,0.2972662896,0.0454210799,0.02874458327,1.13E-05,0.02571551576
0.04604604605,0.8818614483,0.3506893701,0.05242463321,0.0350562471,1.82E-05,0.02962807865
0.04804804805,0.8916712766,0.4047871057,0.05990825534,0.04212373581,2.84E-05,0.03382497972
0.05005005005,0.9005163873,0.4584624262,0.06784860785,0.04994537329,4.31E-05,0.03829849235
0.05205205205,0.9085058978,0.5107694415,0.07622043971,0.05851116061,6.38E-05,0.0430398072
0.05405405405,0.9157351122,0.5609382614,0.08499711522,0.06780360908,9.23E-05,0.04803923597
0.05605605606,0.9222874252,0.6083814827,0.09415107724,0.07779864279,0.0001307655446,0.05328639442
0.05805805806,0.9282359487,0.6526868906,0.1036542486,0.08846652926,0.0001816636024,0.05877036538
0.06006006006,0.9336449029,0.6936008652,0.1134783756,0.09977280561,0.0002479511016,0.06447984279
0.06206206206,0.9385708064,0.7310064251,0.1235953191,0.1116791749,0.0003329569176,0.07040325808
0.06406406406,0.9430634953,0.7648990506,0.1339772969,0.1241443543,0.000440424116,0.07652889024
0.06606606607,0.9471669961,0.7953626017,0.1445970838,0.137124863,0.000574509874,0.08284496106
0.06806806807,0.950920276,0.8225468855,0.1554281734,0.15057574,0.0007397785342,0.0893397169
0.07007007007,0.9543578877,0.8466477938,0.1664449062,0.1644511906,0.0009411879235,0.09600149828
0.07207207207,0.9575105242,0.8678904438,0.1776225694,0.1787051574,0.00118406924,0.1028187987
0.07407407407,0.9604054985,0.8865154033,0.1889374706,0.1932918185,0.001474100958,0.1097803139
0.07607607608,0.9630671572,0.902767846,0.2003669901,0.2081660158,0.001817277316,0.1168749824
0.07807807808,0.9655172396,0.916889348,0.2118896156,0.2232836161,0.002219872058,0.1240920183
0.08008008008,0.9677751884,0.9291119605,0.2234849603,0.2386018111,0.002688398143,0.1314209383
0.08208208208,0.9698584203,0.9396541827,0.2351337682,0.2540793602,0.003229564198,0.1388515822
0.08408408408,0.9717825615,0.9487184659,0.2468179092,0.2696767827,0.003850228483,0.1463741282
0.08608608609,0.9735616529,0.956489916,0.2585203644,0.2853565036,0.004557351158,0.1539791047
0.08808808809,0.9752083296,0.9631359042,0.2702252052,0.301082959,0.00535794559,0.1616573975
0.09009009009,0.9767339783,0.9688063394,0.2819175653,0.3168226662,0.006259029433,0.1694002541
0.09209209209,0.9781488744,0.9736344027,0.2935836095,0.332544262,0.007267576124,0.1771992855
0.09409409409,0.9794623041,0.9777375845,0.3052104986,0.3482185155,0.008390467439,0.1850464648
0.0960960961,0.9806826699,0.9812188987,0.316786351,0.3638183179,0.009634447616,0.192934125
0.0980980981,0.9818175851,0.9841681822,0.328300204,0.3793186537,0.01100607955,0.200854954
0.1001001001,0.9828739562,0.9866634111,0.3397419728,0.3946965559,0.01251170348,0.2088019889
0.1021021021,0.9838580567,0.9887719836,0.3511024092,0.4099310493,0.01415739845,0.216768609
0.1041041041,0.9847755917,0.9905519405,0.3623730606,0.4250030827,0.0159489469,0.2247485278
0.1061061061,0.9856317553,0.9920530999,0.3735462289,0.4398954549,0.01789180252,0.2327357845
0.1081081081,0.9864312822,0.9933180978,0.38461493,0.4545927334,0.01999106156,0.2407247344
0.1101101101,0.9871784926,0.9943833286,0.3955728537,0.4690811697,0.0222514377,0.2487100396
0.1121121121,0.9878773333,0.9952797869,0.4064143258,0.4833486125,0.02467724042,0.2566866586
0.1141141141,0.9885314132,0.9960338148,0.4171342699,0.4973844185,0.02727235701,0.2646498367
0.1161161161,0.9891440362,0.9966677587,0.4277281713,0.5111793642,0.03004023806,0.272595095
0.1181181181,0.9897182296,0.997200545,0.4381920421,0.5247255568,0.03298388635,0.2805182206
0.1201201201,0.9902567702,0.9976481799,0.4485223874,0.5380163482,0.03610584911,0.2884152562
0.1221221221,0.9907622075,0.998024183,0.4587161736,0.5510462495,0.03940821342,0.2962824897
0.1241241241,0.9912368842,0.9983399602,0.468770797,0.5638108483,0.04289260461,0.304116444
0.1261261261,0.9916829554,0.9986051249,0.4786840553,0.5763067296,0.0465601875,0.3119138675
0.1281281281,0.9921024049,0.9988277728,0.4884541191,0.5885313983,0.05041167024,0.3196717239
0.1301301301,0.9924970609,0.9990147156,0.498079506,0.6004832064,0.05444731068,0.327387183
0.1321321321,0.9928686092,0.9991716816,0.5075590553,0.6121612824,0.05866692482,0.3350576112
0.1341341341,0.993218606,0.9993034849,0.5168919042,0.623565465,0.06306989739,0.3426805627
0.1361361361,0.9935484886,0.9994141692,0.5260774658,0.6346962399,0.06765519422,0.3502537703
0.1381381381,0.9938595861,0.9995071302,0.5351154077,0.6455546802,0.07242137614,0.3577751376
0.1401401401,0.9941531278,0.9995852181,0.5440056321,0.6561423906,0.07736661439,0.36524273
0.1421421421,0.9944302523,0.9996508247,0.5527482572,0.6664614542,0.08248870712,0.3726547676
0.1441441441,0.9946920145,0.9997059567,0.5613435997,0.6765143834,0.08778509696,0.3800096167
0.1461461461,0.9949393925,0.9997522974,0.569792158,0.6863040738,0.09325288946,0.3873057833
0.1481481481,0.9951732941,0.999791259,0.5780945968,0.6958337613,0.0988888721,0.3945419053
0.1501501502,0.9953945622,0.9998240256,0.5862517326,0.7051069816,0.1046895339,0.4017167462
0.1521521522,0.9956039801,0.9998515907,0.5942645203,0.7141275333,0.1106510852,0.4088291883
0.1541541542,0.9958022763,0.9998747874,0.6021340399,0.7228994438,0.116769478,0.4158782266
0.1561561562,0.9959901284,0.9998943146,0.6098614853,0.7314269369,0.123040426,0.4228629626
0.1581581582,0.9961681676,0.9999107585,0.6174481527,0.7397144037,0.1294594248,0.4297825991
0.1601601602,0.9963369818,0.9999246111,0.6248954305,0.7477663758,0.1360217719,0.4366364337
0.1621621622,0.9964971192,0.9999362852,0.6322047895,0.7555875,0.1427225866,0.4434238549
0.1641641642,0.9966490911,0.9999461272,0.6393777739,0.763182516,0.1495568293,0.4501443357
0.1661661662,0.9967933747,0.9999544281,0.6464159932,0.7705562353,0.1565193206,0.4567974299
0.1681681682,0.996930416,0.999961432,0.653321114,0.7777135222,0.1636047599,0.4633827671
0.1701701702,0.9970606314,0.9999673442,0.6600948531,0.7846592767,0.1708077437,0.4699000481
0.1721721722,0.9971844104,0.9999723368,0.6667389706,0.791398419,0.1781227823,0.4763490412
0.1741741742,0.9973021176,0.9999765549,0.6732552639,0.7979358745,0.1855443177,0.482729578
0.1761761762,0.997414094,0.9999801202,0.6796455618,0.8042765621,0.1930667389,0.4890415497
0.1781781782,0.997520659,0.9999831351,0.6859117191,0.8104253816,0.2006843977,0.4952849035
0.1801801802,0.9976221121,0.9999856856,0.6920556119,0.8163872042,0.2083916239,0.5014596392
0.1821821822,0.997718734,0.9999878445,0.6980791329,0.8221668627,0.2161827385,0.5075658058
0.1841841842,0.9978107879,0.9999896726,0.7039841873,0.8277691435,0.2240520679,0.5136034988
0.1861861862,0.997898521,0.9999912213,0.7097726887,0.8331987795,0.231993956,0.5195728566
0.1881881882,0.9979821652,0.9999925341,0.7154465561,0.8384604434,0.240002776,0.5254740586
0.1901901902,0.9980619386,0.9999936473,0.7210077099,0.843558742,0.2480729419,0.5313073217
0.1921921922,0.9981380459,0.9999945918,0.7264580698,0.848498212,0.2561989185,0.5370728983
0.1941941942,0.9982106799,0.9999953936,0.7317995511,0.8532833148,0.2643752313,0.5427710738
0.1961961962,0.9982800217,0.9999960745,0.7370340631,0.857918434,0.2725964753,0.5484021643
0.1981981982,0.998346242,0.999996653,0.7421635061,0.8624078715,0.2808573234,0.5539665144
0.2002002002,0.9984095012,0.9999971449,0.7471897699,0.8667558454,0.2891525339,0.5594644951
0.2022022022,0.9984699507,0.9999975632,0.7521147315,0.8709664882,0.2974769572,0.5648965023
0.2042042042,0.9985277331,0.9999979192,0.7569402537,0.8750438447,0.3058255426,0.5702629544
0.2062062062,0.9985829827,0.9999982222,0.7616681833,0.8789918712,0.3141933435,0.5755642909
0.2082082082,0.9986358265,0.9999984804,0.7663003501,0.8828144344,0.3225755226,0.5808009707
0.2102102102,0.9986863839,0.9999987004,0.770838565,0.886515311,0.3309673566,0.5859734703
0.2122122122,0.9987347679,0.999998888,0.7752846199,0.8900981876,0.3393642399,0.591082283
0.2142142142,0.9987810853,0.999999048,0.7796402855,0.8935666604,0.3477616881,0.5961279166
0.2162162162,0.9988254367,0.9999991846,0.7839073116,0.8969242357,0.356155341,0.6011108929
0.2182182182,0.9988679174,0.9999993012,0.7880874255,0.90017433,0.3645409652,0.6060317459
0.2202202202,0.9989086173,0.9999994009,0.7921823317,0.9033202713,0.3729144557,0.6108910207
0.2222222222,0.9989476218,0.9999994861,0.7961937113,0.9063652991,0.381271838,0.6156892729
0.2242242242,0.9989850112,0.9999995589,0.8001232214,0.9093125662,0.3896092688,0.6204270668
0.2262262262,0.9990208619,0.9999996213,0.803972495,0.9121651389,0.3979230371,0.625104975
0.2282282282,0.9990552462,0.9999996746,0.8077431402,0.9149259989,0.406209565,0.6297235772
0.2302302302,0.9990882323,0.9999997203,0.8114367403,0.9175980443,0.4144654069,0.6342834591
0.2322322322,0.9991198851,0.9999997595,0.8150548533,0.9201840908,0.4226872502,0.6387852122
0.2342342342,0.9991502661,0.9999997931,0.8185990121,0.9226868735,0.4308719147,0.6432294325
0.2362362362,0.9991794334,0.9999998219,0.822070724,0.9251090482,0.4390163514,0.6476167198
0.2382382382,0.9992074423,0.9999998466,0.8254714709,0.9274531927,0.4471176419,0.6519476773
0.2402402402,0.9992343452,0.9999998678,0.8288027092,0.929721809,0.4551729973,0.6562229106
0.2422422422,0.9992601919,0.9999998861,0.8320658701,0.9319173244,0.4631797565,0.6604430274
0.2442442442,0.9992850296,0.9999999017,0.8352623589,0.9340420933,0.4711353849,0.6646086367
0.2462462462,0.9993089032,0.9999999152,0.8383935561,0.936098399,0.4790374723,0.6687203483
0.2482482482,0.9993318552,0.9999999268,0.8414608167,0.9380884551,0.4868837314,0.6727787724
0.2502502503,0.9993539262,0.9999999368,0.844465471,0.9400144074,0.4946719954,0.6767845191
0.2522522523,0.9993751547,0.9999999454,0.8474088241,0.9418783353,0.5024002158,0.6807381977
0.2542542543,0.9993955773,0.9999999528,0.8502921566,0.9436822541,0.5100664605,0.6846404167
0.2562562563,0.9994152287,0.9999999591,0.8531167249,0.9454281158,0.5176689109,0.6884917831
0.2582582583,0.9994341422,0.9999999646,0.855883761,0.9471178114,0.5252058599,0.6922929022
0.2602602603,0.9994523492,0.9999999694,0.8585944729,0.9487531722,0.5326757088,0.6960443772
0.2622622623,0.9994698798,0.9999999735,0.8612500451,0.9503359717,0.5400769653,0.6997468087
0.2642642643,0.9994867626,0.999999977,0.8638516387,0.9518679269,0.5474082404,0.7034007948
0.2662662663,0.9995030248,0.9999999801,0.8664003918,0.9533507001,0.5546682457,0.7070069305
