RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN�m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1 (g),PFA Node 5 (g),PFA Node 9 (g),PFA Node 12 (g),Maximum LRB Displacement (Node 1) (mm),Maximum Top Displacement (Node 9) (mm)
139,0.05,208.8077,912.0149,0.045104,0.090843,0.110417,0.119117,0.120455,0.114979,0.099199,0.065817,0.120455,0.093584,0.062115,0.055543,0.02402,0.014497,0.0,26.3907
139,0.06,231.6535,1009.132,0.050022,0.102078,0.125762,0.137118,0.139641,0.133791,0.115231,0.075987,0.139641,0.107706,0.074538,0.066456,0.027148,0.017571,0.0,30.3731
139,0.08,278.0135,1184.4092,0.058738,0.115794,0.144176,0.160285,0.166805,0.161369,0.138607,0.090553,0.166805,0.127175,0.099383,0.087749,0.033267,0.023686,0.0,35.8633
139,0.1,339.8475,1622.4776,0.083829,0.174762,0.215857,0.23321,0.233603,0.217867,0.181466,0.116243,0.233603,0.180907,0.124229,0.107486,0.039199,0.02954,0.0,51.0159
139,0.15,491.7762,2575.8537,0.1417,0.301264,0.37739,0.412106,0.41528,0.3875,0.321205,0.203098,0.41528,0.31722,0.186344,0.156111,0.05175,0.043323,0.0,89.456
139,0.19,572.626,2819.7432,0.157908,0.338744,0.430743,0.476187,0.482049,0.44879,0.370078,0.233042,0.482049,0.364739,0.236036,0.200266,0.057502,0.054904,0.0,102.8564
139,0.2,593.6876,2942.6607,0.163123,0.348245,0.44389,0.491178,0.497323,0.462838,0.381212,0.239567,0.497323,0.375842,0.248459,0.211469,0.058332,0.057878,0.0,105.9875
139,0.21,613.2809,3058.6832,0.169497,0.359343,0.457636,0.506995,0.513369,0.47723,0.392593,0.246312,0.513369,0.387376,0.260882,0.222593,0.058948,0.060894,0.0,109.24
139,0.25,679.9631,3468.3564,0.199793,0.412441,0.527765,0.585004,0.592363,0.549705,0.449811,0.279941,0.592363,0.445612,0.310573,0.262011,0.064469,0.073325,0.0,125.6625
139,0.3,748.9358,3883.1193,0.235481,0.504026,0.646482,0.717401,0.726111,0.67305,0.548641,0.338925,0.726111,0.544817,0.372688,0.304534,0.071097,0.088999,0.0,153.6383
139,0.35,799.694,4481.6168,0.30668,0.639526,0.804017,0.878262,0.886616,0.818718,0.665512,0.410235,0.886616,0.665211,0.434803,0.34301,0.076528,0.10435,0.0,187.5894
139,0.4,895.052,5404.3524,0.432725,0.878014,1.087882,1.171181,1.151852,1.040324,0.830667,0.506918,1.171181,0.880573,0.496917,0.370543,0.081073,0.119685,0.0,248.3216
139,0.45,961.0061,6116.8523,0.563833,1.144128,1.422666,1.533924,1.505383,1.34787,1.061446,0.635149,1.533924,1.145821,0.559032,0.397285,0.091049,0.135224,0.0,323.1215
139,0.5,1001.319,6762.5179,0.714681,1.480548,1.869186,2.028689,1.992752,1.773536,1.372533,0.798434,2.028689,1.497156,0.621147,0.427398,0.100331,0.150724,0.0,422.198
139,0.51,1006.2964,6888.5851,0.755687,1.572679,1.987019,2.156485,2.121481,1.889693,1.457775,0.841485,2.156485,1.590791,0.63357,0.435237,0.102822,0.153776,0.0,448.603
139,0.52,1031.434,7165.9393,0.824684,1.714666,2.149358,2.320146,2.270617,2.012505,1.544563,0.885565,2.320146,1.703445,0.645993,0.441641,0.106841,0.156758,0.0,480.3716
139,0.53,1049.7021,7324.735,0.882188,1.843695,2.321039,2.494742,2.427497,2.140356,1.625566,0.922491,2.494742,1.820119,0.658416,0.447244,0.110161,0.159577,0.0,513.2734
139,0.54,1060.2278,7441.8959,0.930362,1.955095,2.472901,2.666176,2.605254,2.298601,1.7309,0.964655,2.666176,1.943597,0.670838,0.450268,0.112773,0.162333,0.0,548.0945
