RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kN·m),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1 (g),PFA Node 5 (g),PFA Node 9 (g),PFA Node 12 (g),Maximum LRB Displacement (Node 1) (mm),Maximum Top Displacement (Node 9) (mm)
3282,0.05,248.8894,449.3329,0.170946,0.192269,0.204511,0.210307,0.208262,0.195548,0.166573,0.11288,0.210307,0.293943,0.051567,0.028937,0.025828,0.022348,32.6976,83.5627
3282,0.07,320.1484,612.104,0.249387,0.282045,0.302044,0.31249,0.310619,0.291611,0.246451,0.163694,0.31249,0.409313,0.079988,0.048412,0.034692,0.03126,42.084,116.3602
3282,0.1,606.4699,1366.6797,0.620617,0.680402,0.694184,0.677373,0.63115,0.554822,0.44207,0.279966,0.694184,0.847186,0.115223,0.07578,0.062505,0.044576,79.8931,240.8396
3282,0.15,611.8566,1398.0802,0.640295,0.707006,0.744135,0.772066,0.760321,0.698224,0.570905,0.36221,0.772066,0.8838,0.171231,0.115457,0.066896,0.066981,80.6295,251.2485
3282,0.2,664.1,1557.9436,0.807832,0.939256,1.025435,1.066534,1.048993,0.959457,0.781111,0.491299,1.066534,1.12692,0.236921,0.134542,0.065139,0.089352,87.4623,320.3632
3282,0.25,717.2683,1783.3042,0.955172,1.127586,1.247739,1.309325,1.292435,1.181631,0.95912,0.599333,1.309325,1.323006,0.273957,0.172017,0.079322,0.111677,94.5545,376.1069
3282,0.3,850.2412,2225.2719,1.166613,1.295887,1.386406,1.477454,1.474699,1.358449,1.106832,0.689214,1.477454,1.440945,0.31713,0.204524,0.091489,0.133928,112.2685,409.6348
3282,0.32,891.5884,2465.9154,1.291392,1.3993,1.398764,1.504235,1.513158,1.40298,1.148734,0.716052,1.513158,1.479318,0.346226,0.213015,0.09684,0.142796,117.8227,420.5434
3282,0.35,991.4912,2883.6226,1.618528,1.766836,1.770378,1.67576,1.568503,1.425222,1.180984,0.740901,1.770378,1.75712,0.394654,0.225536,0.102898,0.156046,130.9338,499.5176
3282,0.4,1085.4859,3545.9503,2.25655,2.506584,2.527285,2.371763,2.064657,1.64916,1.264509,0.763036,2.527285,2.223902,0.487062,0.306926,0.100274,0.177974,143.2571,632.2154
3282,0.37,1041.5703,3185.9951,1.897975,2.090704,2.098531,1.97315,1.741573,1.505055,1.199436,0.746099,2.098531,1.962921,0.428497,0.238111,0.103445,0.164841,137.5047,558.0232
4199,0.05,705.7919,1765.3315,0.860619,0.942095,0.959536,0.931139,0.859763,0.745023,0.58084,0.358054,0.959536,1.098682,0.058614,0.069797,0.080116,0.032314,93.1241,312.3356
4199,0.02,290.4699,523.8227,0.193959,0.204926,0.214021,0.213402,0.193829,0.191605,0.156743,0.102681,0.214021,0.317091,0.041425,0.0954,0.024497,0.020323,38.1686,90.1433
4199,0.04,691.5954,1683.56,0.809797,0.886105,0.903015,0.877514,0.811982,0.705468,0.552019,0.341824,0.903015,1.045558,0.053128,0.068597,0.078091,0.033821,91.2133,297.2333
4199,0.03,705.3072,1739.9892,0.844349,0.923919,0.941085,0.913609,0.84454,0.733034,0.572309,0.353098,0.941085,1.081023,0.053781,0.069687,0.080408,0.032309,93.0358,307.3154
4199,0.07,695.5957,1690.5764,0.815551,0.894093,0.912876,0.888619,0.823385,0.71614,0.560761,0.347334,0.912876,1.052509,0.063104,0.068683,0.076415,0.044787,91.7335,299.2093
4199,0.1,770.0955,1988.675,0.998388,1.093012,1.110834,1.073784,0.986423,0.849813,0.657868,0.401451,1.110834,1.234326,0.089474,0.074008,0.086558,0.063142,101.6463,350.8967
4199,0.15,835.5905,2265.4653,1.182233,1.295947,1.313289,1.261399,1.14837,0.979696,0.751211,0.453613,1.313289,1.400401,0.131556,0.091253,0.096651,0.093298,110.3764,398.1087
4199,0.2,886.1968,2532.419,1.372778,1.506052,1.523346,1.457311,1.317842,1.113841,0.845824,0.505419,1.523346,1.566146,0.179873,0.12331,0.106636,0.123311,117.1467,445.2271
