RSN,PGA (g),Maximum Base Shear (kN),Maximum Overturning Moment (kNm),ISD Floor 1 (%),ISD Floor 2 (%),ISD Floor 3 (%),ISD Floor 4 (%),ISD Floor 5 (%),ISD Floor 6 (%),ISD Floor 7 (%),ISD Floor 8 (%),Maximum ISD (%),Maximum Global Drift (%),PFA Node 1 (g),PFA Node 5 (g),PFA Node 9 (g),PFA Node 12 (g),Maximum LRB Displacement (Node 1) (mm),Maximum Top Displacement (Node 9) (mm)
496,2.5,1570.0521,3110.8706,1.482276,1.558976,1.78281,1.940912,1.966005,1.835293,1.524779,0.961101,1.966005,1.74036,1.270374,0.936782,0.149291,0.118938,206.4206,494.753
496,3.0,1840.342,3777.033,1.918346,2.026223,2.101753,2.283856,2.3026,2.128483,1.736028,1.074853,2.3026,1.894997,1.580091,1.07511,0.150538,0.142709,242.0307,538.7135
496,3.5,2094.8972,4443.5689,2.410756,2.550188,2.535323,2.576838,2.577939,2.359701,1.892559,1.147107,2.577939,1.993695,1.938085,1.19216,0.163276,0.166477,275.5864,566.7717
990,0.1,342.8346,646.0313,0.248661,0.270137,0.276571,0.274174,0.262823,0.239967,0.19936,0.132122,0.276571,0.39525,0.066452,0.043425,0.030075,0.024755,45.0691,112.3625
990,0.25,839.0938,2254.86,1.183922,1.304655,1.330997,1.28761,1.179701,1.011602,0.778468,0.470966,1.330997,1.418585,0.168077,0.106137,0.095584,0.058216,110.7977,403.2782
990,0.2,768.4839,1971.882,0.987567,1.080308,1.096468,1.058682,0.972113,0.838229,0.650731,0.399064,1.096468,1.230584,0.133829,0.085961,0.080854,0.048205,101.4089,349.8329
990,0.15,610.2462,1358.9912,0.616844,0.678023,0.695988,0.683605,0.641867,0.568731,0.455645,0.288926,0.695988,0.851467,0.099986,0.065067,0.061099,0.03703,80.3727,242.0569
990,0.35,924.2505,2699.0101,1.501818,1.652505,1.684249,1.633873,1.494012,1.27134,0.967831,0.577466,1.684249,1.705798,0.232804,0.147079,0.112495,0.07577,122.1869,484.9278
990,0.3,874.6962,2527.3557,1.382759,1.519567,1.539001,1.471842,1.327971,1.12195,0.857518,0.515034,1.539001,1.590229,0.201166,0.125624,0.104871,0.066992,115.5453,452.0736
990,0.45,954.1334,3099.5812,1.867171,2.069487,2.092792,1.980993,1.751743,1.433516,1.047079,0.611932,2.092792,1.972829,0.291412,0.192814,0.115738,0.094387,126.3522,560.8398
990,0.65,1018.9256,3433.723,2.226414,2.520353,2.60171,2.514414,2.25822,1.847042,1.320735,0.732722,2.60171,2.282181,0.393677,0.262428,0.122624,0.132535,134.8639,648.783
990,0.55,950.4236,3121.5421,1.920456,2.14709,2.189052,2.110272,1.905117,1.583204,1.168376,0.673055,2.189052,2.051904,0.344889,0.225415,0.124397,0.113687,125.7213,583.3195
1052,0.15,797.9853,2133.8112,1.098605,1.204801,1.223428,1.178328,1.07642,0.921518,0.708669,0.429468,1.223428,1.332769,0.09283,0.081444,0.091428,0.052088,105.3853,378.8821
1052,0.05,458.7062,926.3707,0.380754,0.414895,0.424913,0.419753,0.399897,0.362276,0.297747,0.193921,0.424913,0.572569,0.032648,0.034255,0.04242,0.030576,60.3528,162.7712
1052,0.12,763.4217,1967.2579,0.988293,1.083549,1.103396,1.068757,0.983746,0.848695,0.657636,0.401501,1.103396,1.22771,0.07523,0.075939,0.085753,0.045085,100.7593,349.0159
1052,0.25,916.4082,2759.3865,1.546016,1.698982,1.718425,1.641031,1.478099,1.240323,0.933687,0.552651,1.718425,1.721128,0.160248,0.112222,0.108279,0.076728,121.2715,489.2858
4455,0.1,78.5969,118.3736,0.035463,0.03954,0.044582,0.049951,0.057362,0.060308,0.0561,0.039612,0.060308,0.066135,0.09011,0.064555,0.015043,0.005671,10.3019,18.8011
4455,0.25,192.3395,320.6207,0.1075,0.115824,0.120045,0.12722,0.148504,0.156197,0.142145,0.097544,0.156197,0.195945,0.214514,0.155735,0.034104,0.014886,25.2472,55.7037
4455,0.45,635.93,1407.0087,0.638218,0.698918,0.71304,0.694928,0.646823,0.568062,0.452067,0.2858,0.71304,0.867493,0.373729,0.263735,0.062228,0.029654,83.7751,246.6127
4455,0.35,429.7379,848.529,0.340145,0.368317,0.375484,0.370156,0.352517,0.319381,0.262608,0.171529,0.375484,0.517647,0.294799,0.210359,0.044826,0.023554,56.5269,147.1577
