PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.0,5.45657856154521e-32,2.2208347565349473e-75,4.274139365710002e-201
0.002002002002002002,0.004912368122132602,3.963354820377589e-11,3.4504238414354837e-32
0.004004004004004004,0.04011564572232994,2.9279741640640226e-08,3.874040196372097e-24
0.006006006006006006,0.10341852296369647,8.253711092729382e-07,5.3789130004181384e-20
0.008008008008008008,0.17963585156201817,6.985865087619725e-06,2.6108475833515527e-17
0.01001001001001001,0.25826000910720975,3.2075679457096307e-05,2.269212470022489e-15
0.012012012012012012,0.33370014421254046,0.00010231777587549625,7.026670294128159e-14
0.014014014014014014,0.40339990278645876,0.00025705185405798194,1.10100703510081e-12
0.016016016016016016,0.466463885427917,0.0005464224529089337,1.0679939653684792e-11
0.018018018018018018,0.5228534048386775,0.001027579808984449,7.27321044325282e-11
0.02002002002002002,0.5729434187290767,0.0017605397740647413,3.779883216946456e-10
0.022022022022022022,0.6172847334030012,0.0028044338872493615,1.5884344841571177e-09
0.024024024024024024,0.6564792537852902,0.004214503137277416,5.627419967282174e-09
0.026026026026026026,0.6911168658227439,0.006039931400386981,1.733559495410692e-08
0.028028028028028028,0.7217457176086978,0.008322467416337654,4.7542560631821837e-08
0.03003003003003003,0.748860413442408,0.011095715095088677,1.1821813553714034e-07
0.03203203203203203,0.7728996089449012,0.01438495082430021,2.704117428501873e-07
0.03403403403403403,0.7942483263070688,0.01820733151744994,5.756424518841349e-07
0.036036036036036036,0.8132424272411458,0.02257237449585895,1.1512616171542842e-06
0.03803803803803804,0.8301738596713184,0.027482611787585563,2.1800873648989654e-06
0.04004004004004004,0.8452959518124821,0.03293434267917125,3.934330252785208e-06
0.04204204204204204,0.8588283937235495,0.03891842729978525,6.80352364516671e-06
0.044044044044044044,0.8709617489125482,0.045421079895637595,1.1325872788079369e-05
0.04604604604604605,0.8818614483492025,0.052424633213093624,1.8222171436470806e-05
0.04804804804804805,0.8916712765666175,0.05990825533774586,2.8431225568078507e-05
0.050050050050050046,0.9005163873316278,0.0678486078516632,4.3145583509984717e-05
0.05205205205205205,0.9085058977514104,0.0762204397114305,6.384630598844529e-05
0.05405405405405406,0.9157351121809502,0.08499711522201586,9.233551647777174e-05
0.056056056056056056,0.9222874251999944,0.09415107723758631,0.00013076554460454332
0.058058058058058054,0.9282359486749646,0.10365424855166,0.0001816636023645483
0.06006006006006006,0.9336449028671697,0.11347837558009788,0.0002479511015614923
0.062062062062062065,0.9385708064248156,0.12359531907631266,0.000332956917561983
0.06406406406406406,0.943063495274057,0.13397729689178606,0.0004404241160430441
0.06606606606606606,0.9471669960704344,0.14459708381569614,0.0005745098740333591
0.06806806806806806,0.9509202760394178,0.15542817337720954,0.0007397785341543787
0.07007007007007007,0.9543578877156074,0.16644490623369573,0.0009411879235290532
0.07207207207207207,0.9575105242464804,0.17762256944223503,0.0011840692404072733
0.07407407407407407,0.960405498507742,0.188937470552333,0.0014741009582062714
0.07607607607607608,0.9630671572296641,0.20036699008722086,0.0018172773162132246
0.07807807807807808,0.9655172396056122,0.21188961561497027,0.002219872058003137
0.08008008008008008,0.9677751883980835,0.22348496025908698,0.0026883981432875037
0.08208208208208208,0.9698584203322536,0.2351337681676357,0.0032295641979862154
0.08408408408408408,0.9717825615360242,0.24681790915389834,0.003850228483059818
0.08608608608608609,0.9735616529178502,0.25852036444171705,0.004557351157759202
0.08808808808808809,0.9752083296429004,0.2702252051953012,0.005357945590407297
0.09009009009009009,0.9767339782521821,0.2819175652857364,0.006259029432668266
0.0920920920920921,0.9781488744495261,0.29358360954348234,0.007267576124482222
0.0940940940940941,0.9794623041421839,0.305210498566195,0.008390467439299863
0.0960960960960961,0.9806826699492232,0.3167863509924638,0.009634447615572705
0.0980980980980981,0.9818175850770408,0.3283002040126457,0.011006079553006714
0.10010010010010009,0.9828739561940687,0.3397419727660804,0.012511703482949187
0.1021021021021021,0.9838580567095578,0.3511024091677734,0.01415739845322178
0.1041041041041041,0.984775591667862,0.3623730606154557,0.015948946900219783
